state,date_installed,incentive_prog_names,type,size_kw,appraised,zipcode,install_type,installer,cost_per_watt,cost,lbnl_tts_version_year,lbnl_tts,city,utility_clean,tech_1,model1_clean,county,annual_PV_prod,annual_insolation,rebate,sales_tax_cost,tilt1,tracking_type,azimuth1,manuf2_clean,manuf3_clean,manuf1_clean,inv_man_clean,reported_annual_energy_prod,incentivetype,year_app_implied,year,npv_fit_real,application_implied,npv_pbi_real,other_incentive,appraised_cluster,inflation,other_incentive_real,zip_available,cust_city,pbi,pbi_real,pbi_length,application,fit_length,fit_rate,fit_payment,_3rdparty_implied,utility,install_price_real_w,install_price,installer_clean,manuf1_,inverter_reported,rebate_real,model1,_3rdparty,inv_model_reported,microinv_solarhub,bipv_3,bipv_2,bipv_1,sales_tax_rate,sales_tax_cost_real,bipv_all,thinfilm_all,china,sys_sizeac,pbi_rate,new_constr,effic_1,cust_county,tracking,inv_model_clean,mod_cost_real,inv_cost_real,bos_powerclerk_real,permitting_real,3rdparty,Filters=maxsize=30600&minsize=0&state=CA&zipcode=90020
CA,09/15/2010,Los Angeles Department of Water & Power,uir,6.66,,90020,residential,Verengo,6.37,42424.2,2016,true,Los Angeles,Los Angeles Department of Water & Power,,,Los Angeles,10470.4964,5.560623646,19867.32,2136.470504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,04/22/2010,Los Angeles Department of Water & Power,uir,7.36,,90020,residential,Xtreme Construction,7.7038043478,56700.0,2016,true,Los Angeles,Los Angeles Department of Water & Power,,,Los Angeles,11570.99902,5.560623646,22505.04,2855.395683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,10/14/2014,Los Angeles Department of Water & Power,uir,17.0,,90020,residential,Renewable Energy Advantage,5.1852941176,88150.0,2016,true,Los Angeles,Los Angeles Department of Water & Power,Poly,SMX250P,Los Angeles,26603.65112,5.53432703,5676.0,3419.156481,20.0,Fixed,180.0,Changzhou Almaden,,,,26897.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,07/24/2009,Los Angeles Department of Water & Power,uir,3.15,,90020,residential,Rec Solar,9.1023047619,28672.26,2016,true,Los Angeles,Los Angeles Department of Water & Power,,,Los Angeles,4952.26181,5.560623646,11327.94,1420.697568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,03/14/2011,Los Angeles Department of Water & Power,uir,7.525,,90020,residential,Rec Solar,6.5646644518,49399.1,2016,true,Los Angeles,Los Angeles Department of Water & Power,,,Los Angeles,11830.40321,5.560623646,20808.63,1997.757721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,06/09/2014,Los Angeles Department of Water & Power,uir,6.21,,90020,residential,Phat Energy Corp,5.8103703704,36082.4,2016,true,Los Angeles,Los Angeles Department of Water & Power,Mono,SPR-X21-345,Los Angeles,8698.155666,4.953146458,2069.0,1399.56179,,Fixed,180.0,SunPower,SunPower,SunPower,SunPower,9133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,08/15/2014,Los Angeles Department of Water & Power,uir,6.0,,90020,residential,RGS/Real Goods,4.4156666667,26494.0,2016,true,Los Angeles,Los Angeles Department of Water & Power,Poly,CS6P-250P,Los Angeles,9011.350342,5.307789326,1833.0,1027.647553,10.0,Fixed,180.0,Canadian Solar,Canadian Solar,Canadian Solar,,8390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,10/07/2014,Los Angeles Department of Water & Power,uir,22.95,,90020,residential,Sun Integration,3.2244008715,74000.0,2016,true,Los Angeles,Los Angeles Department of Water & Power,Mono,HiS-S255MG(BK),Los Angeles,36475.75003,5.626585007,7766.0,2870.307199,30.0,Fixed,270.0,Hyundai Heavy Industries,,,,35688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,11/18/2014,Los Angeles Department of Water & Power,uir,13.75,,90020,residential,La Solar Group,3.45,47437.5,2016,true,Los Angeles,Los Angeles Department of Water & Power,Mono,SW 275 Mono,Los Angeles,,,4459.0,1840.002672,5.0,Fixed,270.0,,,,,19725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CA,11/16/2015,Los Angeles Department of Water & Power,uir,15.96,,90020,residential,Abc Solar,3.795802005,60581.0,2016,true,Los Angeles,Los Angeles Department of Water & Power,Mono,SW 285 Mono,Los Angeles,25248.4375,5.597713947,4169.0,2357.541682,25.0,Fixed,180.0,,,,,26710.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
